co,kd,tauc,rv,ibd,mn,dh,cw,sd,po,fat,Qp,Tp,Bw,Tc,Bwbc,Bwac
10348.04286,46.94694456,2.506754356,16329292.94,0.01686520249,0.02500331343,15.54301202,12.27844658,0.0005578355347,0.2875701218,0.5939059246,nan,4.752,0.017,-1,-1,-1
12415.93981,23.20644977,2.400428415,15453483.06,0.03341844663,0.0207266829,15.58226529,12.27007337,0.0005115675933,0.3054331589,0.6083283677,3476.01025,2329.74,155.8564,339.732,1.036,24.8652
13162.5639,41.44703107,1.433050799,15572643.33,0.03903141085,0.02531249282,15.55444281,12.1979263,0.0002612646903,0.3042325643,0.6413383763,5406.74072,1544.76,260.3333,204.768,1.0712,23.128
14585.21556,21.11008917,1.536324024,14597459.17,0.0201712135,0.03174950806,15.57202398,11.83949879,0.0002249494393,0.3188397791,0.6010488124,5395.00439,1909.764,234.3073,464.76,1.22,23.3012
7964.309988,39.15504593,2.003644518,14762521.93,0.03100052677,0.02302844523,15.56113824,12.36140986,0.0002223366553,0.2782586114,0.6218330609,5487.86035,1559.736,234.5096,184.752,0.6181,28.714
8784.092346,16.3133735,1.459828243,16939571.02,0.02890348475,0.02209375832,15.57362894,11.76154824,0.0004003687265,0.2891351986,0.6578824084,2746.40674,2724.732,153.6003,429.732,0.7152,26.3947
11955.85227,45.52320867,2.23930811,14368644.1,0.01502110371,0.021928133,15.56097914,12.60870492,0.0001460050886,0.2986997113,0.5963372925,5698.5415,1689.768,227.0717,249.768,0.9696,25.7077
12793.37361,38.77435683,3.49120491,15039303.2,0.04588640226,0.02455727857,15.54641593,12.183139,0.0002322376195,0.3057416301,0.6202155589,5397.06738,1609.74,229.318,229.752,1.0651,24.0695
7124.806627,20.60860471,1.919668377,15589522.25,0.04289976556,0.02775874068,15.53784524,12.48152462,0.0003028768972,0.2999020372,0.6328132223,4447.33447,1924.74,216.1644,354.744,0.5804,28.9455
14239.72344,31.57297877,1.358038682,15919126.17,0.01719663644,0.02963927944,15.52803017,12.39668069,0.0002484660404,0.2765476321,0.6171743654,nan,4.752,0.0173,-1,-1,-1
10063.29718,25.847822,2.339731252,15494014.77,0.01383401258,0.01940111469,15.5759843,12.08056585,0.0001656130179,0.2922546835,0.5813886493,3515.72192,2334.744,159.1484,384.768,0.8107,28.1278
6145.387451,23.028154,1.764375837,15118191.1,0.02250435481,0.01988209508,15.57088949,12.22533277,0.0002987934861,0.3115289969,0.6404609974,3613.71802,2234.736,160.8283,299.736,0.506,29.7969
10423.0977,37.14898921,2.730191741,15438406.47,0.04648282352,0.02558882887,15.53423844,12.43353721,0.0002098234111,0.2402470626,0.6509088339,5358.51562,1584.756,245.837,234.756,0.8228,25.5363
8808.685976,43.08367401,3.575100636,15350917.7,0.0139191822,0.02798653356,15.55704299,12.38753012,0.0005645780072,0.300534762,0.6070588452,6452.13086,1504.764,292.5998,364.752,0.7142,28.1968
10007.44994,35.69346279,1.787130823,15836920.21,0.01977547409,0.03263090976,15.54353434,12.13851808,0.0003100720238,0.3265330857,0.635173298,6397.33301,1689.768,322.8784,564.732,0.8405,25.6411
