co,kd,tauc,se,ibh,mn,sd,po,fat,cc,dh,cw,Qp,Tp,Bw,Tc,Bwbc,Bwac
4422.908098,180.3615129,0.1524413095,0.8845354942,0.9802768717,0.02235324293,0.0001238558764,0.3656933327,0.6138071511,0.06744455144,1.354635165,1.981258155,2.42715,259.74,6.4867,99.756,0.4295,0.6323
4827.589776,226.2184279,0.1239821947,0.8688765491,0.9897453762,0.02346625284,0.0001170216739,0.354567012,0.6541214876,0.07458461034,1.314546861,1.927542456,2.80172,199.764,7.2779,79.74,0.4553,0.6906
4841.325105,134.200879,0.1035816292,0.9517637988,1.007742818,0.02933755635,0.0001353787051,0.3529472598,0.6380572191,0.06679082323,1.285617639,1.960831388,3.21062,219.744,7.3367,104.76,0.4532,0.6704
5440.155038,228.4963394,0.05850612433,0.8986446013,1.051412104,0.02710091645,0.0001105334937,0.3626162155,0.6229539677,0.07544590875,1.25482649,2.002154414,3.44948,169.74,8.3317,69.768,0.5041,0.5602
5328.565859,186.434847,0.0374468397,0.9081651646,0.9522178972,0.02569828886,0.000143099608,0.3903689509,0.6104770011,0.06610314356,1.261874297,1.87486533,3.03395,204.768,7.4134,94.752,0.5236,0.571
5135.768467,212.6077692,0.1160824643,0.8863386804,1.001052537,0.02125868794,0.0001366871488,0.3846570246,0.6487472765,0.07239173111,1.297827652,1.913667923,2.57138,214.74,6.4551,84.744,0.5069,0.6011
4963.463092,83.69496226,0.1258385813,0.8504179528,0.9297740327,0.03142969737,0.0001277347146,0.3784155368,0.6174258293,0.07856933624,1.35836767,1.994604985,2.01841,469.764,6.1236,289.764,0.4969,0.5296
4676.01973,132.6505748,0.0210952235,0.8887780138,1.035027023,0.0199611001,0.0001143217221,0.3857396248,0.6090604047,0.07264446176,1.346192488,1.974620629,1.84827,324.756,5.3022,124.74,0.4482,0.6532
5275.504493,141.9114407,0.09897302005,0.895386541,0.996970971,0.0246006583,0.0001240651516,0.3707522537,0.6304681445,0.07859355068,1.266766101,2.131790109,2.44959,259.74,6.2195,119.736,0.5064,0.5825
4692.327435,80.37135513,0.08034878965,0.8792407056,1.061429892,0.02991442116,0.0001378446832,0.3641646673,0.5966586816,0.07165123452,1.298829696,2.036834055,2.12441,339.732,5.9849,184.752,0.4546,0.7503
5472.865639,106.4996652,0.1118146993,0.9938678256,0.9889183516,0.02359595706,0.0001201926236,0.3583825699,0.650092192,0.07574145945,1.330861261,2.013032606,2.42016,319.752,5.4043,189.756,0.7965,0.8624
5012.706493,211.9691783,0.04922241793,0.944335994,1.030232068,0.02435325162,0.0001424826566,0.3564751251,0.5905013847,0.06369739155,1.351677339,2.059643989,3.27692,184.752,7.662,74.736,0.4613,0.7786
4324.353171,101.6169712,0.09193266508,0.9548327719,0.9919230385,0.03007133918,0.000125034848,0.4029059767,0.6187894003,0.07349225613,1.347179837,1.925856132,2.81492,294.732,6.8031,144.756,0.4229,0.6123
5113.20141,165.4521604,0.08673564857,0.8898286213,1.02215482,0.01748178062,0.0001131134673,0.3515863591,0.5835747762,0.07794715352,1.321139926,2.004663374,1.86551,284.76,5.0049,104.76,0.4775,0.7374
5645.334221,200.4654048,0.07673132135,0.9415185655,0.9428884992,0.02403429984,0.0001231138142,0.4020498775,0.6140711931,0.06766873372,1.342331732,1.962578641,3.08778,219.744,7.1032,104.76,0.5533,0.6008
4921.092651,53.32156768,0.104509377,0.9194566729,0.9853014444,0.02370713346,0.0001225094298,0.3543169693,0.647544297,0.06804409476,1.294720168,1.81431747,1.45441,529.74,3.9938,294.732,0.4693,0.56
4295.53224,172.5217771,0.1572448477,0.9476081173,0.9469486862,0.02420675066,0.0001272508699,0.3569006476,0.6536375854,0.07217482237,1.276142815,1.96931325,2.98462,219.744,6.9131,79.74,0.4007,0.5611
5051.784224,81.69129471,0.09813682282,0.9513900046,1.017683502,0.02596739933,0.0001481237699,0.3421698055,0.6177118921,0.07326856492,1.340993131,1.95337528,2.12953,369.756,5.35,189.756,0.4776,0.6198
5243.315975,131.8721814,0.1313736194,0.9689698979,0.9833461014,0.02612335518,0.00012745304,0.3617061231,0.6579431151,0.07175946744,1.206769131,2.064800426,2.97711,224.748,6.4576,104.76,0.4942,0.4971
4219.896202,144.4332781,0.1425343846,0.8386745158,1.005468507,0.02484218793,0.0001331021305,0.4264752569,0.6326667032,0.06959540259,1.327006682,2.129431533,2.15618,289.764,6.331,124.74,0.4369,0.6119
5088.810553,146.6227014,0.1007681777,0.9548881074,1.039664397,0.02267579173,0.0001289630187,0.337155854,0.6510471625,0.06599199337,1.323018819,2.112142767,2.60935,244.764,6.0527,99.756,0.458,0.6143
5460.781597,143.0411932,0.04748874063,0.8871415292,0.9189251363,0.02452532256,0.000135831698,0.4435571779,0.6600541234,0.07627870061,1.335151227,1.98297748,2.33666,319.752,6.1896,-1,-1,-1
4707.937219,152.1804878,0.1098931286,0.904167362,1.054245114,0.01956938133,0.0001222402086,0.3868736662,0.6263488722,0.07067375089,1.310218431,2.008633438,2.07842,264.744,5.3413,99.756,0.4557,0.7019
5096.509264,220.2310008,0.1536223954,0.9032965324,0.9967174996,0.03047592149,0.0001149448284,0.3951433893,0.631098199,0.06518857982,1.328084259,1.976018274,3.75709,174.744,8.9151,84.744,0.4961,0.6479
4944.312895,104.8154087,0.1366774255,0.907319817,1.041927593,0.02037233957,0.0001242573579,0.3881142995,0.6286458386,0.07119045921,1.240700465,1.904090435,1.81538,319.752,4.6138,134.748,0.4761,0.5765
4576.548379,236.0993551,0.07093267341,0.9216239564,0.9369665231,0.02686551042,0.0001208690504,0.3798600883,0.6096454235,0.06456536658,1.259656445,2.089982715,3.67255,159.732,8.5867,64.764,0.4252,0.6928
4139.30447,129.4924285,0.09417000639,0.9340792352,0.9650981707,0.0288759956,0.0001161164744,0.3406923324,0.63675006,0.06152971736,1.273857512,1.966643471,2.99366,239.76,7.294,99.756,0.3797,0.6243
5518.080618,92.88394889,0.1180299044,0.8421179142,1.078976881,0.02323253036,0.0001371423515,0.3725400968,0.6336110992,0.06471530692,1.248143112,1.944656468,1.61614,364.752,4.7448,-1,-1,-1
5153.128698,56.8017769,0.1341985912,0.8802858237,1.035835111,0.02049353208,0.0001338289905,0.3509232154,0.6455916757,0.06088551502,1.260360806,1.831761597,1.19934,509.76,3.4382,269.748,0.4893,0.593
5040.195812,162.9257895,0.09599337555,0.8776970998,0.9764795899,0.03128469944,0.0001232981483,0.3833734644,0.6018297714,0.0714614151,1.225884857,1.864268217,3.21654,199.764,8.1494,99.756,0.4919,0.5938
5382.541682,105.0894048,0.1022518073,0.9090899808,0.9754483159,0.01874293568,0.0001258679732,0.3451954012,0.600330548,0.06566658334,1.373715816,1.985278947,1.62336,399.744,4.3313,199.764,0.5205,0.5802
5267.435915,90.49499063,0.08238974576,0.8464577004,1.004514718,0.02399909899,0.0001410786592,0.3395939236,0.6442993774,0.07019145493,1.315801589,2.021473229,1.62345,409.752,4.9604,214.74,0.5074,0.5752
4788.813762,182.2652311,0.0690785141,0.9303906411,0.993970356,0.02028437226,0.0001319152369,0.3599809024,0.6217271992,0.07005900529,1.286326764,1.867799024,2.53158,224.748,6.1005,79.74,0.4399,0.6905
4861.533397,207.444161,0.1192673693,0.8599621625,0.9717163067,0.02517373104,0.0001159436769,0.3768499877,0.6245114114,0.07624494619,1.25760804,1.798018099,2.84433,199.764,7.4366,84.744,0.4782,0.633
4602.229694,45.78967661,0.1469068892,0.9334085831,0.9929893872,0.02504648974,0.0001303091709,0.345610661,0.6333879707,0.0735590998,1.283153488,2.085437618,1.45382,554.76,3.9839,304.74,0.4327,0.6116
4591.298085,192.2417781,0.05407054872,0.9195972288,1.059243934,0.02905922199,0.0001205304193,0.3460491128,0.662506223,0.06908781275,1.253416082,2.055205172,3.57933,164.736,8.4681,64.764,0.4035,0.6438
4658.109828,94.35231293,0.03535953694,0.957690067,1.015409252,0.02069604352,0.0001390764978,0.4202952029,0.6566470535,0.06756118382,1.288713282,2.048879567,1.93114,329.76,4.687,144.756,0.4525,0.5476
5408.608828,170.1528671,0.1280095024,0.9046630955,1.031625898,0.02871123426,0.0001359812085,0.355862494,0.6062913503,0.06900054509,1.263878608,2.053198826,3.17847,199.764,7.674,94.752,0.5137,0.5975
4404.199028,63.74212042,0.08445771659,0.8968958835,0.9735779492,0.02545437355,0.0001225969599,0.3819909815,0.6401584639,0.06822734992,1.244410127,1.937319561,1.6778,429.732,4.6952,219.744,0.4268,0.5752
5353.289472,96.12024113,0.1447100679,0.9119702283,1.022584409,0.0247830428,0.0001312493062,0.3695170439,0.63953129,0.0727444209,1.363952234,2.01164289,1.99979,374.76,5.2552,199.764,0.527,0.5687
5054.997931,149.7097687,0.1065631216,0.9496181264,1.012024239,0.0266102313,0.0001363622441,0.4221645375,0.6280614273,0.06554477144,1.369207048,1.899693047,2.97101,244.764,6.9282,119.736,0.5138,0.6257
5029.068637,72.31412032,0.1136874636,0.9146627508,1.089094774,0.02334524924,0.0001092804373,0.3426283338,0.5962154402,0.06298585292,1.338261916,2.019435495,1.66253,409.752,4.5592,214.74,0.4795,0.7621
4799.970364,176.9900037,0.1195477166,0.912324142,0.9645610757,0.02087890135,0.0001345168032,0.3735167886,0.6273538435,0.07385501486,1.311487295,2.109757667,2.39429,259.74,6.011,94.752,0.4505,0.5602
4812.536518,75.34810772,0.1330123034,0.8578490983,1.028206342,0.03081609769,0.0001437485636,0.3359916607,0.655253334,0.06891444517,1.277297114,2.029089444,2.0093,364.752,5.8106,204.768,0.453,0.6651
5283.735918,111.6479428,0.1058345502,0.9153457086,0.9799003822,0.02964412762,0.0001245215881,0.3664825748,0.6111873419,0.07159320083,1.318205062,1.880739671,2.63673,299.736,6.6862,164.736,0.5181,0.5599
5173.995364,122.0106769,0.09286609525,0.8640898881,0.9700894335,0.01803704291,0.0001196792652,0.3476454489,0.6391040868,0.06320907477,1.218065198,2.143102033,1.57713,329.76,4.3537,134.748,0.485,0.56
4738.222207,119.2098388,0.05136969768,0.8725613634,1.067804632,0.02307557353,0.0001127940582,0.362098974,0.5861936561,0.07040177214,1.230030689,1.963793042,2.04363,279.756,5.6595,114.732,0.4497,0.6655
5542.806824,124.0361386,0.1379621752,0.9405726274,1.003107482,0.02587593116,0.0001305772923,0.4099552172,0.6046187368,0.06701468367,1.245409606,2.032730489,2.63449,264.744,6.1374,-1,-1,-1
4888.767863,108.7463764,0.06543091732,0.9387727427,1.084506222,0.02662244212,0.0001270255151,0.4332924579,0.624630582,0.06948373064,1.293098799,2.090803873,2.52993,274.752,6.103,129.744,0.4827,0.5952
5307.232891,68.41749203,0.09092731747,0.8635500328,0.9782606375,0.01835549722,0.0001263252335,0.3756845441,0.6185478326,0.07027700687,1.271068042,1.923935336,1.12577,514.764,3.3397,274.752,0.5257,0.5441
5213.357151,126.4112606,0.07160277119,0.9226980994,0.9730221875,0.03026686352,0.0001135822711,0.3884771801,0.612592261,0.07485405496,1.232043214,2.104094656,3.00266,239.76,7.2098,124.74,0.5006,0.5533
4768.593156,201.2893835,0.1112990638,0.8977826637,1.009071252,0.02534323102,0.0001266225842,0.3575512103,0.631663805,0.07423837907,1.386159553,1.951039218,2.94918,224.748,7.5458,94.752,0.4656,0.6199
4899.086721,177.8191799,0.1432006448,0.9621422313,1.072977469,0.02200882504,0.0001348993798,0.4148991342,0.6359552597,0.0768614611,1.281028624,1.859392603,2.87731,204.768,6.3134,74.736,0.4641,0.5844
5225.202174,38.66802433,0.1423286613,0.9268588433,0.9982399224,0.01922637344,0.0001334187069,0.3700189768,0.5869183258,0.07189905506,1.343523382,2.046259682,1.031,744.732,2.7352,479.736,0.5183,0.6091
5287.151004,122.6650634,0.1390172909,0.8947480368,0.9691228041,0.01977115658,0.0001255180456,0.4130509897,0.6430123035,0.07445091251,1.266327611,2.096325642,1.8179,324.756,4.6673,-1,-1,-1
5343.593303,251.7277358,0.1302593863,0.9239965588,1.063241265,0.02628715671,0.0001451836411,0.3497498092,0.6078382128,0.06642200285,1.299532947,1.956776209,3.67668,159.732,8.4162,59.76,0.4734,0.644
4198.637809,166.4842769,0.1350435187,0.8476220445,0.9537610384,0.0211704799,0.0001389155982,0.3469460336,0.6265726266,0.07088959766,1.319486343,1.893158357,2.05151,284.76,5.9987,104.76,0.4025,0.6254
5163.986773,216.7131202,0.06649707525,0.8764719037,1.013053148,0.02215956911,0.0001326267931,0.3779778927,0.6259103939,0.06923545409,1.308965186,2.067025458,2.62666,214.74,6.8379,84.744,0.5025,0.6445
4530.111037,175.3204954,0.04331436865,0.8723411814,1.041214715,0.02101299848,0.0001400019123,0.3810508032,0.6254853447,0.07721653287,1.335331947,2.000431849,2.23085,244.764,6.1787,89.748,0.4253,0.6787
5195.727906,114.0135903,0.08917310535,0.8671405242,0.9218087117,0.02839340022,0.000119334448,0.3412713002,0.6013054006,0.07056028353,1.249618312,1.91262375,2.34139,309.744,6.4679,164.736,0.4992,0.5353
5231.0358,160.5202696,0.1213492621,0.9382753564,1.000127625,0.02140423881,0.0001067324742,0.4188099427,0.6058611798,0.06258181353,1.307960367,1.916194187,2.48991,249.768,5.8276,109.764,0.5243,0.605
5242.669031,86.53547362,0.1131618697,0.9016433657,1.010899358,0.02760488058,0.000104944091,0.4110200665,0.6159233782,0.07589213396,1.292079164,1.853459589,2.09351,364.752,5.5385,204.768,0.5252,0.5874
5172.190992,110.1979651,0.04092877828,0.9011570329,0.9556392272,0.02418536735,0.0001251941327,0.3927146403,0.6164230269,0.066633417,1.302388112,1.947052796,2.1048,339.732,5.6154,169.74,0.5105,0.5213
4726.608638,117.1191594,0.02299245755,0.9281239129,1.069000321,0.02913876151,0.0001174753933,0.3534532398,0.6298775711,0.07305559903,1.291276512,1.887178772,2.84624,239.76,7.0534,114.732,0.4439,0.7113
5256.783377,115.4920168,0.1360296508,0.9349864389,1.025475503,0.02718303555,0.0001154193153,0.3435377609,0.6194909163,0.06650139267,1.38169074,1.947726405,2.55351,309.744,6.3351,159.732,0.5058,0.6149
4359.889144,158.9598243,0.1459510293,0.9598580598,1.057421817,0.02189942502,0.000129439311,0.3740694748,0.6527870469,0.06984105684,1.269216183,1.93861463,2.72062,209.736,6.1441,74.736,0.4053,0.6984
4997.771786,241.1990178,0.03265058606,0.9651865401,0.9814922143,0.02247093608,0.0001398219167,0.3498555321,0.621150622,0.07283721077,1.300188165,1.84717452,3.42375,169.74,7.6182,59.76,0.4389,0.5873
5190.54666,190.129296,0.0857963295,0.9465724033,1.009632508,0.02498527551,0.0001100228152,0.3637412257,0.6706161951,0.064115038,1.356126887,1.997009982,3.17913,204.768,7.2804,94.752,0.5044,0.6487
4499.5878,136.9840725,0.1273713723,0.9672014152,1.019631127,0.02469649176,0.0001119496328,0.3720362037,0.629519096,0.07132620991,1.296757449,2.079266623,2.84301,229.752,6.4429,99.756,0.4348,0.7242
5556.955158,34.28406294,0.1288110196,0.9000584642,0.9620733088,0.02797028354,0.0001290500847,0.3683372038,0.642684375,0.07375280111,1.32638093,1.971476783,1.11001,884.736,3.5455,774.756,1.0191,1.0374
5357.71347,118.3565063,0.1083371232,0.9275144009,1.033483558,0.0264811364,0.0001080263114,0.3346068422,0.6149897531,0.07080501705,1.278018012,2.005866972,2.56843,269.748,6.2477,129.744,0.4913,0.6363
4957.630293,195.0855001,0.1261793805,0.9168308867,0.9276331714,0.01937196143,0.000106479022,0.3316090363,0.5984760643,0.06995224904,1.321953477,1.973498062,2.38804,254.736,5.9271,94.752,0.4554,0.5664
5207.369412,161.7416796,0.1332605916,0.8922731017,1.047775644,0.02828081529,0.0001344885793,0.3939000637,0.6231734796,0.06501415029,1.31656129,1.870593551,2.95153,219.744,7.3826,104.76,0.502,0.632
4934.186894,195.7650201,0.1408912747,0.8913221036,0.9501092236,0.02161455142,0.0001188485589,0.4054081982,0.6224221437,0.06835865123,1.312326575,2.168427893,2.47061,254.736,6.3138,99.756,0.4866,0.5206
5119.40184,185.5891978,0.1504722651,0.8330905712,1.043982935,0.02746369965,0.0001302276586,0.4171126912,0.5992451483,0.06780363754,1.338851685,2.060351921,2.6513,229.752,7.4478,109.764,0.5124,0.6749
4553.068777,58.91325856,0.1400757066,0.9761743378,0.9578364953,0.02632631837,0.0001217404941,0.3677205543,0.5908384863,0.06851671955,1.269532497,2.11985182,1.94044,434.736,4.7695,229.752,0.4349,0.6006
4624.013839,102.2107273,0.1006188474,0.9252688446,1.020046445,0.02282801948,0.0001178188217,0.4365774922,0.6377648244,0.06795741835,1.312909366,1.919364395,2.01102,334.764,5.15,149.76,0.4607,0.5636
4693.313952,153.4887917,0.1228763471,0.8526921535,1.027851452,0.02379143601,0.000102107444,0.3595140218,0.6642081894,0.06875000564,1.305279277,1.837531149,2.25748,254.736,6.2652,109.764,0.4475,0.6821
4632.344897,77.70273904,0.006716484641,0.9295859758,0.9606274699,0.02775583569,0.0001165085945,0.3521734783,0.6346126766,0.07103417192,1.378599733,1.902510998,2.10789,434.736,5.7638,229.752,0.4456,0.5798
