mn,cw,dh,ibd,ibh,rv,tuw,kd,tauc,Qp,Tp,Bw,Bd,Tc,Bwbc,Bwac,Bdbc,Bdac
0.01831376521,11.72493096,15.58620834,0.03344151517,0.3093224455,15307542.31,18.82490322,26.59833375,2.271152179,2223.55,2880,102.571,15.586,1800,20.659,23.747,10.656,15.586
0.02070843071,11.82334464,15.55050696,0.01778057717,0.3081049861,14854271.56,19.59916028,7.494429308,2.86651617,1517.49,5040,98.015,15.55,5400,19.367,20.22,10,15.55
0.02445509678,12.17405364,15.55333222,0.04198091313,0.4433269332,16272381.29,20.37528132,32.12258643,2.580056215,2190.15,2880,102.55,15.553,1800,22.647,26.319,11.787,15.553
0.02837434306,12.52423446,15.53393415,0.01585453909,0.3435022921,16833416.84,19.79849052,23.59287052,3.042270266,1858.86,3600,102.361,15.533,2520,21.943,24.543,11.323,15.533
0.02079790516,12.08596005,15.52985628,0.03133837215,0.2500383042,16398177.19,20.21160906,53.47533744,3.671467329,2714.64,2520,109.448,15.53,1440,25.689,31.705,13.109,15.53
0.02797851293,12.22317144,15.5495539,0.02829463618,0.3601393358,15377874.17,18.66835304,40.65102349,1.234813437,2667.54,2520,103.239,15.55,1440,22.945,27.661,11.848,15.55
0.02850714086,12.07005392,15.58088758,0.0409424986,0.1503276709,15474974.3,18.41503377,12.26818989,3.272043846,1655.9,3600,101.172,15.581,3600,21.056,22.433,10.698,15.581
0.02769444866,12.45721764,15.54378276,0.02743483187,0.2263449477,16082179.17,20.14140593,57.19043524,3.814022844,2859.67,2520,112.255,15.544,1440,22.799,29.316,11.64,15.544
0.02602413582,12.38998309,15.57044679,0.02567398116,0.2667550548,14507042.66,18.09424776,50.34723896,3.516244034,3064.74,2520,104.071,15.569,1080,17.246,20.19,8.903,15.569
0.02121819818,12.47274918,15.57362649,0.01472321821,0.09828618507,15905028.82,19.83031099,41.29492965,1.686265721,2555.85,2880,104.339,15.572,1800,23.969,28.706,12.091,15.572
0.03459403485,12.35282145,15.55142305,0.02919679991,0.4371197597,15083165.42,18.93329231,35.28744292,2.812274273,2510,2520,102.916,15.551,1800,23.439,27.475,12.171,15.551
0.02726270848,12.17995039,15.5756373,0.02939728022,0.2982622783,14337788.68,19.40836314,60.61006502,2.292805601,3396.74,2160,116.924,15.575,1080,20.077,27.194,10.351,15.575
0.02751667753,12.0946012,15.524234,0.01685630838,0.2073684123,15666699.01,18.79688193,38.31279777,3.201260375,2523.19,2880,103.272,15.523,1800,22.848,27.231,11.64,15.523
0.03155654983,12.30072445,15.56023301,0.02001912779,0.3530505063,15714555.46,20.30342976,38.69033523,4.435588685,2509.01,2880,103.248,15.56,1800,22.647,27.039,11.686,15.56
0.02395044322,11.7852983,15.51412674,0.03778624756,0.431948805,15749320.13,18.73828679,22.16553057,4.056804951,1964.06,3240,101.212,15.514,2160,20.632,23.171,10.766,15.514
0.02172319879,12.54699725,15.58363361,0.03404237407,0.2347819126,14729760.1,20.7020385,27.68058121,3.087576588,2374.73,2520,103.702,15.584,1800,21.095,24.283,10.799,15.584
0.03249961374,11.82924038,15.56866055,0.01931988226,0.2190665625,15137620.36,19.15736129,28.69889054,2.693933205,2316.26,2880,102.894,15.569,2160,22.299,25.597,11.378,15.569
0.02554953058,12.38262338,15.5442621,0.04727008788,0.244476643,15536888.45,19.37378532,24.32180122,2.195607182,2101.09,2880,103.044,15.544,1800,19.903,22.744,10.22,15.544
0.02796809669,11.94829575,15.54067231,0.01912664266,0.3391594426,16432246.22,18.68957274,39.0980221,1.986383458,2330.04,2880,102.76,15.541,1440,16.767,21.37,8.733,15.541
0.02257635682,12.2353459,15.52511871,0.02638323131,0.03904481216,15207019.19,18.57216768,39.76091006,1.833233857,2596.4,2880,103.989,15.525,1440,17.346,22,8.726,15.525
0.02372213836,11.85464748,15.58243879,0.02502610771,0.5535186666,15356267.14,19.13103624,48.09374015,2.072746937,2815.97,2520,106.485,15.581,1440,20.641,26.249,10.887,15.581
0.02582943209,12.12273579,15.58809033,0.015286547,0.2819110681,17048778.48,18.99461237,24.75925043,1.868050022,1875.96,3240,102.718,15.587,2160,20.361,23.171,10.47,15.587
0.02413741371,12.427891,15.57902724,0.02506812457,0.06542613504,15724729.73,19.27219145,13.98362656,3.317886228,1695.07,3600,102.349,15.578,3240,20.038,21.641,10.095,15.578
0.03313943576,11.89987549,15.56753075,0.03929860668,0.4050810684,14535337.54,19.34747353,30.52532857,3.070985547,2499.51,2520,102.58,15.566,1800,22.153,25.661,11.5,15.566
