cw,dh,ibh,se,kd,st,tuw,tauc,mn,Qp,Tp,Bw,Bd,Tc,Bwbc,Bwac,Bdbc,Bdac
1.986080459,1.33043723,0.2808111693,0.9938678256,112.1939638,25898.88202,18.91013082,0.07685214997,0.02203752032,2.74,360,9.97,1.329,216,1.253,1.466,0.878,1.329
2.035708389,1.258049292,0.2742571359,0.8977826637,151.6596163,27999.56403,18.12886166,0.1233130734,0.0209809923,2.75,324,9.751,1.258,288,1.868,2.112,0.866,1.258
1.92224346,1.305890984,0.2458602802,0.9239965588,37.2449664,25122.65515,17.98093128,0.1248496095,0.02020762473,2.59,5292,9.757,1.305,648,1.448,1.512,0.792,1.305
1.947026168,1.242441247,0.3607319332,0.9194566729,248.9119496,25473.8557,18.67068647,0.1398902711,0.02141710649,3.25,288,9.751,1.242,180,1.533,1.966,1,1.242
1.991823917,1.287122632,0.3733691715,0.8764719037,126.1541364,29445.85877,18.51321158,0.07832525509,0.02038343774,2.69,432,9.751,1.286,360,1.807,2.018,0.75,1.286
1.956008376,1.337981834,0.353103474,0.9195972288,46.8698317,26339.83355,18.81080755,0.04203846713,0.02679667092,2.58,5328,9.985,1.338,648,1.545,1.625,0.826,1.338
2.141822027,1.249979249,0.3273965519,0.9672014152,181.5675055,23542.09764,18.88440709,0.09774245608,0.0258861462,3.03,288,9.751,1.25,144,1.109,1.448,0.902,1.25
1.976854555,1.334140958,0.3038387927,0.9000584642,124.9779875,28775.64208,18.46351311,0.1324639591,0.02375206273,2.69,396,9.982,1.334,288,1.484,1.704,0.847,1.334
1.867325038,1.261499752,0.2511531735,0.9349864389,86.30256596,25674.32282,18.61604513,0.09012206309,0.02832841028,2.56,4428,9.751,1.262,324,1.356,1.509,0.61,1.262
1.902159142,1.300225893,0.2748605648,0.8599621625,144.4319083,27138.52417,17.82477474,0.1422709244,0.02366316462,2.63,360,9.751,1.3,252,1.417,1.661,0.841,1.3
2.079939799,1.294182394,0.2992843266,0.9548881074,129.5677884,22182.51966,19.27539432,0.1278874056,0.02558105409,2.72,360,9.845,1.294,180,1.085,1.326,0.863,1.294
2.015135634,1.386575032,0.3240021971,0.8776970998,83.89763621,25743.41045,17.71227392,0.007050443615,0.02649519994,2.57,4824,10.336,1.387,324,1.161,1.314,0.863,1.387
1.999697381,1.310279202,0.3057449197,0.9081651646,187.8792762,25285.4645,18.71763217,0.1182624464,0.02929935254,2.94,324,9.86,1.31,180,1.222,1.551,0.872,1.31
1.877801063,1.276289609,0.2609616579,0.893768725,72.04708104,28674.23407,18.24471942,0.05239262941,0.02761626129,2.57,5328,9.751,1.276,324,1.228,1.359,0.835,1.276
2.019748862,1.360849151,0.27272179,0.9295859758,143.2932833,26544.31902,18.48505321,0.1002637151,0.02432730867,2.79,360,10.183,1.359,216,1.295,1.548,0.881,1.359
1.850453163,1.315445275,0.3169724185,0.9627612656,160.6126782,24697.98145,18.39783239,0.05706710526,0.0305100375,2.99,324,9.751,1.315,252,1.798,2.076,0.936,1.315
